ConsentTitle,規約を更新しました。
ConsentMainText,プレイを継続するには、当社の利用規約に同意し、プライバシーポリシーを読んだことを確認してください。
ConsentToS,利用規約
ConsentPP,プライバシーポリシー
ConsentTitleYes,より良い広告を見ることができます。
ConsentTextYes,すばらしい！我々の広告があなたの興味に沿い、適していることを願っています。気が変わったときは、お使いの端末の「Google/広告」で「広告のパーソナライズ」の「オプトアウト」を有効にすることで、この同意を撤回し、ランダムな広告の受信を開始することができます。
ConsentTitleNo,ランダムに広告が表示されます。
ConsentTextNo,本アプリでは、パーソナライズされた広告のためにお客様のデータを収集することはありません。ただし、お客様は、別のアプリでパーソナライズされた広告を提供することを当社に許可することができます。その場合、当社は別のアプリでお客様のデータを収集し、そこでお客様にパーソナライズされた広告体験を提供します。
Close,終了
Reject,拒否
Accept,承諾
Continue,継続
Notif0Title,そろそろ...
Notif0Text,パイプを繋げよう！
Notif1Title,私が恋しくなった頃！
Notif1Text,気分を替えて遊びに来てね。
Notif2Title,メンタルスキルを高めよう！
Notif2Text,パイプに挑戦しませんか？
Notif3Title,あなたは解けるかな？
Notif3Text,敢えて難しいレベルを解いてみよう！
USEAST,米国東海岸
CANADA,カナダ
MEXICO,メキシコ
BRAZIL,ブラジル
UK,イギリス
GERMANY,ドイツ
FRANCE,フランス
SPAIN,スペイン
ITALY,イタリア
GREECE,ギリシャ
TURKEY,トルコ
EGYPT,エジプト
SAUDI,サウジアラビア
KENYA,ケニヤ
IRAN,イラン
INDIA,インド
THAILAND,タイ
SINGAPORE,シンガポール
AUSTRALIA,オーストラリア
NEWZEALAND,ニュージーランド
TAIWAN,台湾
CHINA,中国
KOREA,韓国
JAPAN,日本
RUSSIA,ロシア
USWEST,米国西海岸
DailyQuests,デイリークエスト
Reward,報酬
Coins,12コイン
InfiniteHearts,12時間の無限ハート
InfiniteMoves,12無限ムーブ
Hints,12ヒント
Easy,簡単
Medium,普通
Hard,難しい
Claimed,いただき！
Date,3月26日(金)
Saturday,土曜日
Sunday,日曜日
Monday,月曜日
Tuesday,火曜日
Wednesday,水曜日
Thursday,木曜日
Friday,金曜日
January,1月
February,2月
March,3月
April,4月
May,5月
June,6月
July,7月
August,8月
September,9月
October,10月
November,11月
December,12月
Q_RotateTiles,100枚のタイルを回転
Q_FinishLevels,100レベルを制覇
Q_EarnCoins,100コイン獲得
Q_EarnInfiniteHearts,無限ハートを100分獲得
Q_EarnHints,100のヒントを獲得
Q_EarnInfiniteMove,無限ムーブを100回獲得
Q_WinLevelsContinuously,負けなしで100レベルを制覇
Q_EarnCards,100枚のカードをコレクションに獲得
Q_EarnStars,スターを100個獲得
Q_UsePowerUps,100のヒント、または無限ムーブを使う
Q_WinWithoutUndo,やり直しボタンを使わずに100レベルを制覇
Q_FillWells,100個の井戸を満たす
Q_GrowPlants,100本の植物を育てる
Q_WinWith3Stars,100レベルを3つ星で制覇
Q_FillPipes,100本のパイプを満たす
Q_OpenChests,100個の宝箱を開ける
Q_OpenStarChest,100個の星の宝箱を開ける
Q_OpenLevelChest,100個のレベル宝箱を開ける
Q_ReachSpecificLevel,レベル100達成
Q_PlayLevelsForSomeSeconds,合計100分間遊ぶ
Q_EarnScore,スコアで合計100を獲得
Q_PlayLevelsForSomeSecondsContinuously,ゲームを終了することなく、合計100分間遊ぶ
TapOnAllShapes,すべての形状をタップしよう！
Awesome,凄い！
Claim,請求
Collection,コレクション
FinishLevelX,レベル12を終了
Settings,設定
Sounds,サウンド
Music,音楽
Vibration,振動
Achievements,成果
Full,一杯
Store,ストア
NoAds,12ドルでゲーム内の広告を削除する
RestorePurchases,購入した商品を復元
XHours,12時間
Beginner,初心者用バンドル
Super,スーパーバンドル
Mega,メガバンドル
Giant,ジャイアントバンドル
Champion,チャンピオンバンドル
Legendary,レジェンダリーバンドル
Sale,セール
MostPopular,一番人気
BestValue,お買い得
LevelX,レベル12
Share,共有
OutOfMoves,ムーブがありません
GetXMoves,5つのムーブを取得して継続
VideoAd,ビデオ
PlayOn,プレイオン
LevelFailed,レベル失敗！
TryAgain,もう一度
NoAdsTitle,広告
NoAdsButton,広告無し
FTUE_Rotate,パイプをタップして回転！
FTUE_AllPipes,すべてのパイプを使おう！
FTUE_WaterToPlants,ムーブがあるだけ、多くの植物に水を与えよう！
FTUE_Undo,最後の一手はいつでも取り消すことができるよ！
FTUE_Hint,ヒントを使って問題を解決！
FTUE_IM,動きを無限にできるよ！
FTUE_Card,カードを取得したよ！
FTUE_Collection1,コレクションでいつでもカードを見ることができるよ！
FTUE_Store,ストアには様々な商品があるよ！
FTUE_Collection2,コレクションへようこそ！カードをタップして見よう！
FTUE_Quests,クエストをクリアして、様々な報酬を手に入れよう！
FTUE_Quest24,24時間毎に新しいクエストが登場するよ！
TapShowBoard,ここをタップするとボードが表示されるよ！
TapToReturn,タップで戻る！
TapToSkip,タップでスキップ！
AreYouSure,本当にいいの？
YouLoseHeart,ハートが1つ減りますよ！
YouWontLoseHeart,ハートが無くなりません！
Quit,終了
ShareMessage,パイプで賢くなったよ😍! ダウンロードはここから：
Enter,入り口
SelectChapter,チャプターを選択
FTUE_Chapters,ここでチャプターの切り替えができるよ！
LevelsXY,レベル1-20
Buy,購入
Refill,リフィル
Get3Hints,3つのヒントを手に入れよう！
Get3IMs,3つの無限ムーブを手に入れよう！
GetFullHearts,5つのハートをリフィル！
MoreOffers,その他のオファー！
LockersExplain,レベル2で解除
Rating,パイプは、2人の情熱的な開発者のチームによって開発されました！我々のゲームが評価されることにより、より洗練したゲームの開発を続けることができます。ありがとうございます！<3
FTUE_Rotate2,タップして回転！
FTUE_AllPipes2,すべてのパイプを使おう！
FTUE_WaterToPlants2,動きに制限があるよ！
FTUE_Undo2,タップすると元に戻ります！
FTUE_Hint2,タップしてヒントを表示！
FTUE_IM2,タップして無限ムーブを使おう！
FTUE_Card2,カードをゲット！
FTUE_Collection1_2,タップしてコレクションを見よう！
FTUE_Store2,ストアでもっと見る！
FTUE_Collection2_2,カードをタップして見てみよう！
FTUE_Quests2,クエストをクリアして報酬を手に入れよう！
FTUE_Quest24_2,24時間ごとに新しいクエストが登場！
FTUE_Chapters_2,タップしてチャプターを選ぶ！
ChooseTwoGifts,2つのギフトを選ぼう！
TwoMoreGifts,さらに2つのギフト！
OutOfHearts,ハートがありません！
TimeToNextHeart,次のハートまでの時間：
RefillHearts,ハートをリフィル
RateUs,私たちを評価してください
LoadCloudData,最後に保存したレベルをロードしますか？
Retry,もう一度