ConsentTitle,Мы обновили условия использования
ConsentMainText,Чтобы продолжить игру, необходимо согласиться с Условиями использования и Политикой конфиденциальности
ConsentToS,Условия использования
ConsentPP,Политика конфиденциальности
ConsentTitleYes,Вы увидите лучшую рекламу
ConsentTextYes,Отлично! Надеемся, вы найдете рекламу полезной и отвечающей вашим интересам. Если вы передумаете, то сможете отозвать это согласие, отказавшись от персонализации рекламы в разделе Настройки/Google/Реклама на вашем мобильном устройстве и получайте случайную рекламу.
ConsentTitleNo,Вы будете видеть случайную рекламу
ConsentTextNo,Мы не будем собирать ваши данные для персонализации рекламы в этом приложении. Тем не менее, вы сможете дать разрешение на показ персонализированной рекламы в другом приложении. В таком случае, мы будем собирать ваши данные в том приложении для показа персонализированной рекламы.
Close,ЗАКРЫТЬ
Reject,Отклонить
Accept,ПРИНЯТЬ
Continue,Продолжить
Notif0Title,Пора...
Notif0Text,Соединять трубы!
Notif1Title,Ваш мозг скучает по мне!
Notif1Text,Наполните сердце – приходите играть!
Notif2Title,Развивайте свои умственные способности!
Notif2Text,Вы готовы к испытанию трубами?
Notif3Title,Вы достаточно умны?
Notif3Text,Спорим, вы пройдете самые сложные уровни!
USEAST,Восток США
CANADA,Канада
MEXICO,Мексика
BRAZIL,Бразилия
UK,Великобритания
GERMANY,Германия
FRANCE,Франция
SPAIN,Испания
ITALY,Италия
GREECE,Греция
TURKEY,Турция
EGYPT,Египет
SAUDI,Саудовская Аравия
KENYA,Кения
IRAN,Иран
INDIA,Индия
THAILAND,Таиланд
SINGAPORE,Сингапур
AUSTRALIA,Австралия
NEWZEALAND,Новая Зеландия
TAIWAN,Тайвань
CHINA,Китай
KOREA,Корея
JAPAN,Япония
RUSSIA,Россия
USWEST,Запад США
DailyQuests,Ежедневные квесты
Reward,Награда
Coins,12 монет
InfiniteHearts,12 часов бесконечных сердец
InfiniteMoves,12 бесконечных ходов
Hints,12 подсказок
Easy,Легкий
Medium,Средний
Hard,Тяжелый
Claimed,Получено!
Date,Пятница, 26 марта
Saturday,Суббота
Sunday,Воскресенье
Monday,Понедельник
Tuesday,Вторник
Wednesday,Среда
Thursday,Четверг
Friday,Пятница
January,Январь
February,Февраль
March,Март
April,Апрель
May,Май
June,Июнь
July,Июль
August,Август
September,Сентябрь
October,Октябрь
November,Ноябрь
December,Декабрь
Q_RotateTiles,Повернуть 100 плиток
Q_FinishLevels,Пройти 100 уровней
Q_EarnCoins,Заработать 100 монет
Q_EarnInfiniteHearts,Заработать 100 минут бесконечных сердец
Q_EarnHints,Заработать 100 подсказок
Q_EarnInfiniteMove,Заработать 100 бесконечных ходов
Q_WinLevelsContinuously,Пройти 100 уровней без поражений
Q_EarnCards,Заработать 100 карт в Коллекцию
Q_EarnStars,Заработать 100 звезд
Q_UsePowerUps,Использовать 100 подсказок или бесконечных ходов
Q_WinWithoutUndo,Пройти 100 уровней без отмены последнего хода
Q_FillWells,Заполнить 100 колодцев
Q_GrowPlants,Вырастить 100 растений
Q_WinWith3Stars,Пройти 100 уровней с 3 звездами
Q_FillPipes,Заполнить 100 труб
Q_OpenChests,Открыть 100 сундуков
Q_OpenStarChest,Открыть 100 звездных сундуков
Q_OpenLevelChest,Открыть 100 сундуков уровня
Q_ReachSpecificLevel,Дойти до 100 уровня
Q_PlayLevelsForSomeSeconds,Играть в общей сложности 100 миут
Q_EarnScore,Заработать 100 очков
Q_PlayLevelsForSomeSecondsContinuously,Играть в общей сложности 100 миут, не закрывая игру
TapOnAllShapes,Нажмите на все фигуры!
Awesome,Потрясающе!
Claim,Получить
Collection,Коллекция
FinishLevelX,Пройти уровень 12
Settings,Настройки
Sounds,Звуки
Music,Музыка
Vibration,Вибрация
Achievements,Достижения
Full,Полный
Store,Магазин
NoAds,Заплатите $12, чтобы убрать рекламу в игре
RestorePurchases,Восстановить покупки
XHours,12 часов
Beginner,Набор начинающего
Super,Супер набор
Mega,Мега набор
Giant,Гигантский набор
Champion,Набор чемпиона
Legendary,Легендарный набор
Sale,Распродажа
MostPopular,Самый популярный
BestValue,Выгодно
LevelX,Уровень 12
Share,Поделиться
OutOfMoves,Нет ходов
GetXMoves,Получите 5 ходов, чтобы продолжить
VideoAd,Видео
PlayOn,Воспроизвести
LevelFailed,Уровень провален!
TryAgain,Попробовать снова
NoAdsTitle,РЕКЛАМА
NoAdsButton,БЕЗ РЕКЛАМЫ
FTUE_Rotate,Нажимайте на трубы, чтобы вращать их!
FTUE_AllPipes,Нужно использовать все трубы!
FTUE_WaterToPlants,Полейте все растения за имеющееся количество ходов!
FTUE_Undo,Вы всегда можете отменить последний ход!
FTUE_Hint,Можно использовать подсказку, чтобы решить часть уровня!
FTUE_IM,Вы можете делать ходы бесконечно!
FTUE_Card,Вы собрали карту!
FTUE_Collection1,Просмотреть карты можно в любой момент в Коллекции!
FTUE_Store,Больше вы найдете в Магазине!
FTUE_Collection2,Добро пожаловать в Коллекцию! Нажмите на любую карту, чтобы просмотреть.
FTUE_Quests,Проходите разные квесты и получайте награды!
FTUE_Quest24,Новые квесты появляются здесь каждые 24 часа!
TapShowBoard,Нажмите здесь, чтобы увидеть доску!
TapToReturn,Нажмите, чтобы вернуться!
TapToSkip,Нажмите, чтобы пропустить!
AreYouSure,Вы уверены?
YouLoseHeart,Вы потеряете 1 сердце!
YouWontLoseHeart,Вы потеряете сердце!
Quit,Выход
ShareMessage,Я прокачиваю мозг Трубами 😍! Скачать тут:
Enter,Войти
SelectChapter,Выбрать главу
FTUE_Chapters,Переключаться между главами можно здесь!
LevelsXY,Уровни 1-20
Buy,Купить
Refill,Заполнить
Get3Hints,Получить 3 подсказки!
Get3IMs,Получить 3 бесконечных хода!
GetFullHearts,Увеличьте до 5 сердец!
MoreOffers,Больше предложений!
LockersExplain,Открывается на уровне 2
Rating,Трубы были разработаны командой из 2 человек! Оцените нашу тяжелую работу хорошей оценкой. Спасибо! <3
FTUE_Rotate2,Нажмите, чтобы повернуть!
FTUE_AllPipes2,Используйте все трубы!
FTUE_WaterToPlants2,Число ходов ограничено!
FTUE_Undo2,Нажмите, чтобы отменить!
FTUE_Hint2,Нажмите, чтобы использовать подсказку!
FTUE_IM2,Нажмите, чтобы использовать бесконечный ход!
FTUE_Card2,Карта собрана!
FTUE_Collection1_2,Нажмите, чтобы просмотреть коллекцию!
FTUE_Store2,Найдите больше в магазине!
FTUE_Collection2_2,Нажимайте на карты, чтобы просмотреть их!
FTUE_Quests2,Проходите квесты и получайте награды!
FTUE_Quest24_2,Новые квесты каждые 24 часа!
FTUE_Chapters_2,Нажмите, чтобы выбрать часть!
ChooseTwoGifts,Выберите 2 подарка!
TwoMoreGifts,Еще 2 подарка!
OutOfHearts,Нет сердец!
TimeToNextHeart,Следующее сердце через:
RefillHearts,Получить сердца
RateUs,Оцените нас
LoadCloudData,Загрузить последний сохраненный уровень?
Retry,Попробовать еще раз