ConsentTitle,เราได้อัปเดตเงื่อนไขของเราแล้ว
ConsentMainText,หากต้องการเล่นต่อ คุณต้องยืนยันว่าคุณยอมรับข้อกำหนดในการให้บริการของเราและได้อ่านนโยบายความเป็นส่วนตัวของเราแล้ว
ConsentToS,เงื่อนไขการให้บริการ
ConsentPP,นโยบายความเป็นส่วนตัว
ConsentTitleYes,คุณจะเห็นโฆษณาที่ดีขึ้น
ConsentTextYes,เยี่ยมมาก! เราหวังว่าคุณจะพบว่าโฆษณาของเรามีความเกี่ยวข้องและเหมาะสมกับความสนใจของคุณ หากคุณเคยเปลี่ยนใจ คุณสามารถถอนคำยินยอมนี้ได้โดยเปิดใช้งานการเลือกไม่ใช้การปรับเปลี่ยนโฆษณาในแบบของคุณภายใต้การตั้งค่า/Google/โฆษณาบนอุปกรณ์ของคุณและเริ่มรับโฆษณาแบบสุ่ม
ConsentTitleNo,คุณจะเห็นโฆษณาแบบสุ่ม
ConsentTextNo,เราจะไม่รวบรวมข้อมูลของคุณสำหรับการโฆษณาที่ปรับตามผู้ใช้ในแอปนี้ อย่างไรก็ตามคุณสามารถอนุญาตให้เราแสดงโฆษณาที่ดูแลจัดการคุณในแอปอื่นได้ ในกรณีนี้เราจะรวบรวมข้อมูลของคุณในแอปอื่นนั้นและมอบประสบการณ์การโฆษณาที่ปรับเปลี่ยนในแบบของคุณที่นั่น
Close,ปิด
Reject,ปฏิเสธ
Accept,ยอมรับ
Continue,ดำเนินการต่อ
Notif0Title,ได้เวลา ...
Notif0Text,เชื่อมต่อท่อ!
Notif1Title,สมองของคุณคิดถึงฉัน!
Notif1Text,เติมหัวใจของคุณแล้วมาเล่น!
Notif2Title,พัฒนาทักษะทางจิตใจของคุณ!
Notif2Text,คุณพร้อมสำหรับความท้าทายท่อหรือไม่
Notif3Title,คุณฉลาดพอหรือยัง
Notif3Text,ฉันท้าให้คุณผ่านด่านที่ยากที่สุด!
USEAST,สหรัฐตะวันออก
CANADA,แคนาดา
MEXICO,เม็กซิโก
BRAZIL,บราซิล
UK,อังกฤษ
GERMANY,เยอรมนี
FRANCE,ฝรั่งเศส
SPAIN,สเปน
ITALY,อิตาลี
GREECE,กรีซ
TURKEY,ตุรกี
EGYPT,อียิปต์
SAUDI,ซาอุดิอาราเบีย
KENYA,เคนยา
IRAN,อิหร่าน
INDIA,อินเดีย
THAILAND,ไทย
SINGAPORE,สิงคโปร์
AUSTRALIA,ออสเตรเลีย
NEWZEALAND,นิวซีแลนด์
TAIWAN,ไต้หวัน
CHINA,จีน
KOREA,เกาหลี
JAPAN,ญี่ปุ่น
RUSSIA,รัสเซีย
USWEST,สหรัฐตะวันตก
DailyQuests,ความท้าทายรายวัน
Reward,รางวัล
Coins,12 เหรียญ
InfiniteHearts,12 ชั่วโมง ของหัวใจไม่จำกัด
InfiniteMoves,12 การเคลื่อนไหวที่ไม่มีที่สิ้นสุด
Hints,12 คำใบ้
Easy,ง่าย
Medium,ปานกลาง
Hard,ยาก
Claimed,รับสิทธิ์แล้ว!
Date,วันศุกร์ที่ 26 มีนาคม
Saturday,วันเสาร์
Sunday,วันอาทิตย์
Monday,วันจันทร์
Tuesday,วันอังคาร
Wednesday,วันพุธ
Thursday,วันพฤหัสบดี
Friday,วันศุกร์
January,มกราคม
February,กุมภาพันธ์
March,มีนาคม
April,เมษายน
May,พฤษภาคม
June,มิถุนายน
July,กรกฎาคม
August,สิงหาคม
September,กันยายน
October,ตุลาคม
November,พฤศจิกายน
December,ธันวาคม
Q_RotateTiles,หมุน 100 แผ่น
Q_FinishLevels,ชนะ 100 ระดับ
Q_EarnCoins,รับ 100 เหรียญ
Q_EarnInfiniteHearts,รับ 100 นาที ของหัวใจไม่จำกัด
Q_EarnHints,รับ 100 คำใบ้
Q_EarnInfiniteMove,รับ 100 การเคลื่อนไหวที่ไม่มีที่สิ้นสุด
Q_WinLevelsContinuously,ชนะ 100 ระดับโดยไม่แพ้
Q_EarnCards,รับ 100 การ์ดในคอลเลกชัน
Q_EarnStars,รับ 100 ดาว
Q_UsePowerUps,ใช้ 100 คำใบ้หรือการเคลื่อนไหวที่ไม่มีที่สิ้นสุด
Q_WinWithoutUndo,ชนะ 100 ระดับโดยไม่ต้องใช้ปุ่มเลิกทำ
Q_FillWells,เติม 100 บ่อ
Q_GrowPlants,ปลูกพืช 100 ต้น
Q_WinWith3Stars,ชนะ 100 ระดับ ด้วย 3 ดาว
Q_FillPipes,เติม 100 ท่อ
Q_OpenChests,เปิด 100 หีบ
Q_OpenStarChest,เปิด 100 หีบดวงดาว
Q_OpenLevelChest,เปิด 100 ระดับหีบ
Q_ReachSpecificLevel,ถึงระดับ 100
Q_PlayLevelsForSomeSeconds,เล่นระดับรวม 100 นาที
Q_EarnScore,รับทั้งหมด 100 ด้วยคะแนนของคุณ
Q_PlayLevelsForSomeSecondsContinuously,เล่นระดับรวม 100 นาทีโดยไม่ต้องปิดเกม
TapOnAllShapes,แตะที่รูปทรงทั้งหมด!
Awesome,สุดยอด!
Claim,รับสิทธิ์
Collection,คอลเลกชัน
FinishLevelX,จบระดับ 12
Settings,การตั้งค่า
Sounds,เสียง
Music,เพลง
Vibration,การสั่นสะเทือน
Achievements,ความสำเร็จ
Full,เต็ม
Store,เก็บ
NoAds,จ่าย $ 12 เพื่อลบโฆษณาออกจากเกม
RestorePurchases,เรียกคืนการซื้อสินค้า
XHours,12 ชั่วโมง
Beginner,กลุ่ม Beginner
Super,กลุ่ม Super
Mega,กลุ่ม Mega
Giant,กลุ่ม Giant
Champion,กลุ่ม Champion
Legendary,กลุ่ม Legendary
Sale,ขาย
MostPopular,ที่นิยมมากที่สุด
BestValue,คุ้มค่าที่สุด
LevelX,ระดับ 12
Share,แบ่งปัน
OutOfMoves,ออกจากการเคลื่อนไหว
GetXMoves,รับ 5 การเคลื่อนไหวเพื่อดำเนินการต่อ
VideoAd,วิดีโอ
PlayOn,เล่นบน
LevelFailed,ระดับล้มเหลว!
TryAgain,ลองอีกครั้ง
NoAdsTitle,โฆษณา
NoAdsButton,ไม่มีโฆษณา
FTUE_Rotate,แตะที่ท่อเพื่อหมุน!
FTUE_AllPipes,คุณต้องใช้ท่อทั้งหมด!
FTUE_WaterToPlants,รดน้ำต้นไม้ทั้งหมดด้วยจำนวนการเคลื่อนไหวที่คุณมี!
FTUE_Undo,คุณสามารถยกเลิกการเคลื่อนไหวครั้งสุดท้ายได้ตลอดเวลา!
FTUE_Hint,คุณสามารถใช้คำใบ้เพื่อแก้ปัญหาส่วนหนึ่งของระดับได้!
FTUE_IM,คุณสามารถทำให้การเคลื่อนไหวของคุณไม่มีที่สิ้นสุด!
FTUE_Card,คุณรวบรวมการ์ดแล้ว!
FTUE_Collection1,คุณสามารถดูการ์ดของคุณในคอลเลคชันของคุณได้ตลอดเวลา!
FTUE_Store,คุณสามารถหาข้อมูลเพิ่มเติมได้ใน Store!
FTUE_Collection2,ยินดีต้อนรับสู่คอลเลคชันของคุณ! คุณสามารถแตะที่การ์ดของคุณเพื่อดูได้!
FTUE_Quests,ทำภารกิจให้สำเร็จและรับรางวัลมากมาย!
FTUE_Quest24,ความท้าทายใหม่จะมาทุกๆ 24 ชั่วโมง!
TapShowBoard,แตะที่นี่เพื่อดูกระดาน!
TapToReturn,แตะเพื่อกลับ!
TapToSkip,แตะเพื่อข้าม!
AreYouSure,คุณแน่ใจไหม
YouLoseHeart,คุณจะเสีย 1 หัวใจ!
YouWontLoseHeart,คุณจะไม่เสียหัวใจ!
Quit,ออก
ShareMessage,ฉันจะฉลาดขึ้นด้วยท่อ 😍! ดาวน์โหลดจาก:
Enter,ป้อน
SelectChapter,เลือกบท
FTUE_Chapters,คุณสามารถสลับระหว่างบทต่างๆ ได้ที่นี่!
LevelsXY,ระดับ 1-20
Buy,ซื้อ
Refill,เติมเงิน
Get3Hints,รับ 3 คำใบ้!
Get3IMs,รับ 3 การเคลื่อนไหวที่ไม่มีที่สิ้นสุด!
GetFullHearts,เติมหัวใจของคุณให้ถึง 5 หัวใจ!
MoreOffers,ข้อเสนอเพิ่มเติม!
LockersExplain,ปลดล็อคที่ระดับ 2
Rating,Pipes ได้รับการพัฒนาโดยทีมงานนักพัฒนา 2 คนที่มีความหลงใหล! ขัดเกลางานที่ทำที่นี่โดยให้คะแนนเกมของเรา ขอบคุณ! <3
FTUE_Rotate2,แตะเพื่อหมุน!
FTUE_AllPipes2,ใช้ท่อทั้งหมด!
FTUE_WaterToPlants2,คุณมีการเคลื่อนไหวที่จำกัด !
FTUE_Undo2,แตะเพื่อเลิกทำ!
FTUE_Hint2,แตะเพื่อใช้คำใบ้!
FTUE_IM2,แตะเพื่อใช้การเคลื่อนไหวที่ไม่มีที่สิ้นสุด!
FTUE_Card2,สะสมการ์ด!
FTUE_Collection1_2,แตะเพื่อดูคอลเลกชัน!
FTUE_Store2,ค้นหาเพิ่มเติมในร้านค้า!
FTUE_Collection2_2,แตะที่การ์ดเพื่อดู!
FTUE_Quests2,ทำภารกิจให้สำเร็จและรับรางวัล!
FTUE_Quest24_2,เควสใหม่ทุก 24 ชั่วโมง!
FTUE_Chapters_2,แตะเพื่อเลือกบท!
ChooseTwoGifts,เลือกของขวัญ 2 ชิ้น!
TwoMoreGifts,ของขวัญอีก 2 ชิ้น!
OutOfHearts,หัวใจหมด!
TimeToNextHeart,เวลาสำหรับหัวใจอันถัดไป:
RefillHearts,เติมหัวใจ
RateUs,ให้คะแนนเรา
LoadCloudData,โหลดระดับที่บันทึกล่าสุดไหม
Retry,ลองอีกครั้ง